Date,open,high,low,close,adjclose,volume,ingested_at_utc
2019-04-17,47300.0,47600.0,47000.0,47050.0,39605.0703125,5513658,2026-02-10 07:00:06.786111+00:00
2019-04-18,47200.0,47250.0,45500.0,45600.0,38384.50390625,12808747,2026-02-10 07:00:06.786111+00:00
2019-04-19,45750.0,46000.0,45250.0,45300.0,38131.9765625,8479710,2026-02-10 07:00:06.786111+00:00
2019-04-22,45400.0,45900.0,45100.0,45350.0,38174.05859375,6006957,2026-02-10 07:00:06.786111+00:00
2019-04-23,45050.0,45500.0,45000.0,45200.0,38047.78515625,6920566,2026-02-10 07:00:06.786111+00:00
2019-04-24,45400.0,45650.0,44150.0,44750.0,37668.99609375,13299267,2026-02-10 07:00:06.786111+00:00
2019-04-25,44250.0,45000.0,44100.0,44650.0,37584.82421875,10868965,2026-02-10 07:00:06.786111+00:00
2019-04-26,44200.0,45000.0,43800.0,44850.0,37753.17578125,9739982,2026-02-10 07:00:06.786111+00:00
2019-04-29,45150.0,46150.0,45100.0,46150.0,38847.48046875,8777517,2026-02-10 07:00:06.786111+00:00
2019-04-30,46000.0,46300.0,45350.0,45850.0,38594.9453125,11121273,2026-02-10 07:00:06.786111+00:00
2019-05-02,45500.0,46150.0,45400.0,45900.0,38637.03125,8625126,2026-02-10 07:00:06.786111+00:00
2019-05-03,45900.0,46050.0,45300.0,45300.0,38131.9765625,6562916,2026-02-10 07:00:06.786111+00:00
2019-05-07,45250.0,45300.0,44400.0,44850.0,37753.17578125,12014907,2026-02-10 07:00:06.786111+00:00
2019-05-08,44300.0,44850.0,44200.0,44250.0,37248.12109375,10398754,2026-02-10 07:00:06.786111+00:00
2019-05-09,43900.0,44250.0,42450.0,42450.0,35732.9375,23029718,2026-02-10 07:00:06.786111+00:00
2019-05-10,42600.0,43450.0,42450.0,42900.0,36111.74609375,14579512,2026-02-10 07:00:06.786111+00:00
2019-05-13,42500.0,43200.0,42350.0,42650.0,35901.30859375,7635079,2026-02-10 07:00:06.786111+00:00
2019-05-14,41300.0,43100.0,41300.0,42650.0,35901.30859375,11563730,2026-02-10 07:00:06.786111+00:00
2019-05-15,42700.0,43050.0,42550.0,42550.0,35817.12109375,7670185,2026-02-10 07:00:06.786111+00:00
2019-05-16,42350.0,42400.0,41350.0,41550.0,34975.359375,13687828,2026-02-10 07:00:06.786111+00:00
2019-05-17,41950.0,42050.0,40850.0,41200.0,34680.73828125,13357951,2026-02-10 07:00:06.786111+00:00
2019-05-20,41650.0,42100.0,41550.0,42000.0,35354.14453125,15752397,2026-02-10 07:00:06.786111+00:00
2019-05-21,42600.0,43950.0,42350.0,43150.0,36322.1796875,18812133,2026-02-10 07:00:06.786111+00:00
2019-05-22,43700.0,43800.0,42400.0,43500.0,36616.80078125,11033339,2026-02-10 07:00:06.786111+00:00
2019-05-23,43900.0,44000.0,43250.0,43850.0,36911.41796875,12259006,2026-02-10 07:00:06.786111+00:00
2019-05-24,43800.0,43800.0,42400.0,42700.0,35943.38671875,13966305,2026-02-10 07:00:06.786111+00:00
2019-05-27,42500.0,43000.0,42350.0,42650.0,35901.30859375,8066669,2026-02-10 07:00:06.786111+00:00
2019-05-28,42550.0,42950.0,42150.0,42550.0,35817.12109375,24506881,2026-02-10 07:00:06.786111+00:00
2019-05-29,41850.0,42100.0,41300.0,41800.0,35185.80078125,14930618,2026-02-10 07:00:06.786111+00:00
2019-05-30,42200.0,42700.0,42150.0,42550.0,35817.12109375,11766018,2026-02-10 07:00:06.786111+00:00
2019-05-31,42600.0,42800.0,42150.0,42500.0,35775.04296875,11365999,2026-02-10 07:00:06.786111+00:00
2019-06-03,42950.0,43900.0,42500.0,43800.0,36869.32421875,15466580,2026-02-10 07:00:06.786111+00:00
2019-06-04,43400.0,43700.0,43000.0,43450.0,36574.69140625,9913497,2026-02-10 07:00:06.786111+00:00
2019-06-05,44050.0,44200.0,43700.0,43900.0,36953.49609375,12464135,2026-02-10 07:00:06.786111+00:00
2019-06-07,43600.0,44350.0,43450.0,44200.0,37206.03125,11683682,2026-02-10 07:00:06.786111+00:00
2019-06-10,44300.0,44850.0,44050.0,44800.0,37711.08984375,8792182,2026-02-10 07:00:06.786111+00:00
2019-06-11,44800.0,45000.0,44550.0,44850.0,37753.17578125,6664872,2026-02-10 07:00:06.786111+00:00
2019-06-12,44800.0,45050.0,44300.0,44600.0,37542.73828125,8607439,2026-02-10 07:00:06.786111+00:00
2019-06-13,44200.0,44400.0,43400.0,43750.0,36827.23828125,16906541,2026-02-10 07:00:06.786111+00:00
2019-06-14,43750.0,44150.0,43300.0,44000.0,37037.68359375,9322873,2026-02-10 07:00:06.786111+00:00
